word,part_of_speech,translate
cabinet,n.,"內閣;櫥,櫃"
school,v.,"教育,訓練"
perch,n.,(鳥類的)棲息處
ounce,n.,"盎司,英兩"
invention,n.,"發明,創造"
Bible,n.,聖經
fury,n.,狂怒;狂暴;猛烈
dry,v.,曬乾;風乾
bite,n.,"咬,叮"
loud,adv.,"大聲地,響亮地"
conference,n.,"(正式)會議;討論會,協商會"
bronze,adj.,青銅色的;青銅製的
load,v.,"裝,裝載"
umpire,v.,仲裁;當裁判
overseas,adj.,國外的
volunteer,n.,"志願者,義工"
enjoy,v.,享受;喜歡
harass,v.,使煩惱;騷擾
outfit,n.,全套(工具、衣物等)
thermometer,n.,寒暑錶;溫度計
clamp,v.,取締;夾住;強行實施;鉗緊
hook,n.,"鉤,掛鉤"
scientific,adj.,科學的
poultry,n.,家禽
prop,n.,後盾;支撐物;支柱;道具
beach,n.,海灘
cannot,v.,不能
till,conj.,直到...為止
singer,n.,歌手
enclose,v.,包圍;圈起;圍住;封入;附記
temporary,adj.,暫時的;臨時的
distribute,v.,分發;分配
jungle,n.,"(熱帶)叢林,密林"
equate,v.,用符號表示某種關係;等同
artist,n.,藝術家
drink,n.,飲料
regarding,prep.,就...而論;關於
scary,adj.,提心吊膽的;膽小的
workshop,n.,作坊;研討會
stanza,n.,詩的一節
plug,v.,"把...塞住,堵塞"
hole,v.,"進入洞中;鑿洞於,穿孔於"
awake,adj.,醒著的
class,v.,把...分等級;把...分類
outset,n.,最初;開始;開端
glue,v.,緊附;黏住
outrage,n.,不法行為;凌辱;暴行;義憤
mourn,v.,哀悼;哀痛
harmful,adj.,有害的
bloody,adj.,流血的;該死的;非常的
sled,n.,平底雪橇
adverb,n.,副詞
smog,n.,煙霧
bound,v.,彈回;與...接界;跳躍
nostril,n.,鼻孔
trench,n.,戰壕;溝;溝渠
radiate,v.,(光、熱等)散發;煥發;輻射
dynasty,n.,朝代;王朝
splendid,adj.,傑出的;杰出的;燦爛的
agricultural,adj.,耕作的;農業的
nail,n.,指甲;釘子
preview,v.,試映;試演
confirm,v.,確認
diversify,v.,使多樣化;使有變化
prowl,v.,(野獸等)四處覓食;徘徊
hollow,n.,"坑;洞,穴"
frame,n.,結構;骨架
ambiguous,adj.,含糊不清的;曖昧不明的
acceptance,n.,"(票據等的)承兌,認付;接受;領受"
rub,n.,"摩擦,擦;疑難點;阻難"
diagram,n.,(曲)線圖;圖表
lose,v.,失去;輸
hearty,adj.,健壯的;衷心的;豐盛的
worthwhile,adj.,值得花費時間(或金錢)的
manuscript,n.,原稿;手稿;打字稿
chocolate,n.,巧克力
less,adj.,較少的
shine,n.,"光,光亮;光澤;擦亮;陽光,晴天"
regardless,adj.,"不注意的,不留心的;不關心的"
part,n.,部份
robust,adj.,健全的;強健的;結實的
zip,v.,以尖嘯聲行進;拉開拉鍊
terrible,adj.,可怕的
prepare,v.,準備
pillar,n.,柱子;棟樑
sense,n.,官能;感官
elderly,adj.,上了年紀的;年長的
picnic,n.,野餐
induce,v.,導致;引誘;歸納出;誘導;誘發
ridge,n.,(狹長的)隆起部;屋脊;山脈
used,adj.,用舊了的;習慣於;舊的
competent,adj.,勝任的;有能力的;能勝任的;能幹的
throb,n.,悸動;抽動;抽痛;跳動
warehouse,v.,把...存入倉庫
stammer,v.,口吃;結結巴巴地說話
suck,v.,"吸,吮,啜"
shout,v.,呼叫
metropolitan,adj.,大都市的
complete,v.,完成
sulfur,n.,硫(磺);硫磺色
convenient,adj.,方便的
snare,n.,(捕捉鳥、獸的)陷阱;圈套
worst,adj.,最壞的;最差的
meaningful,adj.,意味深長的;有意義的
slam,n.,(撲克牌的)滿貫;砰然聲
crumble,v.,(希望等)破滅;崩潰;粉碎
dome,v.,成圓頂狀
tie,v.,綁;繫
preventive,n.,預防措施;預防法;預防物
secondary,adj.,次要的;第二的
bury,v.,"埋葬,安葬"
specify,v.,具體指定;詳細指明
destructive,adj.,毀滅性的;破壞的
acknowledgement,n.,公證狀;回音;承認;確認;致謝
wherever,adv.,無論什麼地方
innocent,adj.,"無罪的,清白的"
diagnose,v.,診斷
park,n.,公園
suspense,n.,懸疑;掛慮;暫時停止
lunatic,n.,瘋傻的人;瘋子
haul,v.,拉;拖;拖運
pipeline,n.,導管;輸油管
academy,n.,大學;學院;研究院
cat,n.,貓
boxer,n.,拳師;拳師狗;拳擊手
counter,adv.,"反方向地,相反地"
flicker,v.,忽隱忽現;搖曳;閃爍
masculine,adj.,男子氣概的;男性的
fatigue,v.,使疲勞
conceal,v.,"隱蔽,隱藏"
suit,n.,一套衣服;訴訟
tilt,n.,傾向;傾斜
solve,v.,解決
hymn,v.,唱聖歌;唱讚美詩
certify,v.,保證;發證書(或執照等);證明
blunt,v.,使遲鈍;使鈍;減弱
deny,v.,"否定,否認"
proverb,n.,"諺語;諺語,俗語"
tuck,v.,使有褶襉;把...塞進
congressman,n.,美國眾議院議員
electronics,n.,電子學
formation,n.,"形態, 結構;形成;構成物"
renaissance,n.,再生;復興;文藝復興;重新流行
chant,n.,吟誦;單調的語調;詠唱
swift,adj.,"快速的,快捷的"
blunt,adj.,直率的;遲鈍的;鈍的
chubby,adj.,圓胖的
vineyard,n.,葡萄園
astonish,v.,"使吃驚,使驚訝"
solitary,n.,獨居者;隱士
characteristic,adj.,"特有的,獨特的"
impose,v.,加(負擔等)於;徵(稅);徵收;把...強加於;麻煩
jasmine,n.,淡黃色;茉莉
fuss,n.,小題大作;忙亂;爭論
tent,n.,帳篷
human,n.,人
strategic,adj.,戰略的
verge,v.,瀕臨;處在邊沿
cough,n.,咳嗽
cheek,n.,腮幫子;臉頰
carrier,n.,帶菌者;從事運輸業公司;運送人
mower,n.,割草機;收割機
announcement,n.,宣佈
esteem,v.,尊重;評價
computerize,v.,使電腦化;用電腦處理
agenda,n.,議程
count,n.,計數;計算
praise,n.,"讚揚,稱讚"
preventive,adj.,防止的;防病的;預防的
emigrant,n.,(往他國的)移民;移出者
plot,n.,標繪圖;陰謀
applicant,n.,申請人
tutor,v.,當家庭教師
checkup,n.,檢查;體檢
stammer,n.,口吃;結巴
place,n.,地方
wrench,v.,使痛苦;攫取;猛扭
disclose,v.,使露出;揭發;揭露;透露
metal,n.,金屬
materialism,n.,唯物主義;唯物論
frail,adj.,易損壞的;脆弱的;身體虛弱的
shrine,n.,神殿;聖壇
grandfather,n.,外祖父;祖父
balance,v.,使平衡
mail,v.,寄信
stoop,v.,屈尊;屈身;彎腰駝背
except,prep.,除…之外
shudder,v.,戰慄;發抖
sole,n.,底部;比目魚;腳底;襪底;鞋底
event,n.,事件
mill,n.,磨坊;銑刀;銑床
command,n.,命令
migrant,adj.,流浪的;移居(尤指移出國境)的
vocal,n.,(歌曲中的)演唱部分;母音;濁音;聲樂作品
gown,n.,"(婦女穿的)長禮服;晨衣,睡袍"
voyage,n.,乘船旅遊;空中旅行
county,n.,郡
reel,n.,一捲;捲筒;捲軸
fence,v.,保衛;用柵(或籬)圍起來;防護
loan,n.,貸款
filter,v.,滲透;過濾
icy,adj.,冰冷的
motion,v.,"打手勢;搖(或點)頭示意;擺動,走"
quarrel,n.,爭吵
musical,n.,歌舞劇;音樂片
mutton,n.,羊肉
descendant,n.,子孫;後代;後裔;從某一來源傳下的東西
phrase,n.,"片語,詞組"
compliment,v.,恭維;稱讚;讚美
menace,v.,威脅;恐嚇
medical,adj.,醫學的;醫療的;醫術的
outright,adv.,全部地;公然;無保留地
different,adj.,不同的
frantic,adj.,(因喜悅或憤怒等)發狂似的
test,v.,測驗;試驗
decide,v.,決定
refusal,n.,拒絕
gulp,v.,哽住;大口地吸(氣);狼吞虎嚥
silk,n.,"絲織物(品),綢布;蠶絲,絲"
subtle,adj.,微妙的;難捉摸的
intellect,n.,智力;有才智的人;理解力
pancake,n.,"薄煎餅,薄烤餅"
fracture,v.,(使)斷裂;(使)破裂;使折斷;使斷裂;使骨折
sneeze,v.,打噴嚏
expel,v.,排出;開除;驅逐
way,n.,方法;路
means,n.,"工具;手段,方法;收入"
aim,v.,"瞄準,對準"
haul,n.,一次獲得的量;拉;拖;拖運
injure,v.,傷害;損害;毀壞
ashamed,adj.,羞愧的
desert,n.,(尤指)懲罰;(常複數)賞罰;沙漠
cruel,adj.,殘酷的
distort,v.,扭曲;曲解;變形
statesman,n.,政治家
socialize,v.,交際;社會主義化
conform,v.,使一致;符合;遵照
recipient,adj.,受領的;接受的
throw,v.,投;拋
dispatch,n.,派遣;發送
gallop,n.,(馬等的)疾馳;騎馬奔馳
substantial,adj.,大量的;實在的
brief,adj.,短暫的
discourage,v.,"使洩氣,使沮喪"
journalism,n.,新聞學;新聞業
coffee,n.,咖啡
penguin,n.,企鵝
firm,adv.,牢固地;穩固地
slice,v.,切成薄片
disciple,n.,信徒;門徒
paradox,n.,充滿矛盾的人、事、物;看似矛盾的說法;自相矛盾的議論
load,n.,工作量;擔子;裝載
spill,n.,散落;溢出;濺出
dispensable,adj.,可分配的;非必要的
shiver,n.,寒顫;顫抖
mute,n.,啞巴;弱音器
pesticide,n.,殺蟲劑;農藥
distrust,n.,不信任;懷疑
protein,n.,蛋白質
thief,n.,小偷
discount,v.,將...打折扣
solitude,n.,孤獨;隱居
geometry,n.,幾何學
swell,v.,"腫起,腫脹"
entertain,v.,"招待,款待"
command,v.,命令;指揮;掌握;控制
canvas,v.,用帆布裝備;用帆布覆蓋
tall,adj.,高的
jolly,n.,快活 (常用 jollies)
crude,adj.,未經加工的;粗糙的;粗野的
transparent,adj.,一目了然的;公開的;易懂的;透明的
universal,adj.,全體(共通)的;宇宙的;普遍的;通用的
airmail,n.,航空郵件
complexion,n.,膚色;面色
resolve,v.,"使分解;解決,解答"
rug,n.,小地毯;毛皮地毯
time,v.,使合拍子;記錄...的時間
thereby,adv.,因此;由此
ingenious,adj.,巧妙的;心靈手巧的;有獨創性的;足智多謀的
out,v.,出現;問世;顯露
next,adj.,下一個
back,adj.,後面的;拖欠的;過去的
plumber,n.,"管子工,鉛管工"
curtain,n.,(舞臺上的)幕;窗簾
repeat,v.,重複
captain,n.,機長;艦長;隊長
intervention,n.,介入;干預;調停
crow,v.,"得意洋洋,幸災樂禍"
woo,v.,追求;追逐
slippery,adj.,不明確的;容易滑的
develop,v.,發展
stump,v.,作巡迴政治演說;砍去...的幹
stack,n.,一疊;乾草堆;煙囪
content,n.,"內容;內容,要旨"
bolt,n.,螺栓;衝撞;門栓;電光
pile,v.,堆起
analects,n.,文選;論集
best,adj.,最好的;最熟練的;最適當的
overlook,v.,俯瞰;眺望
five,n.,五
transport,n.,交通工具
ripe,adj.,成熟的
clearance,n.,出空;清倉大拍賣;清掃
nice,adj.,好的
commission,v.,"委任,委託"
tickle,v.,使發癢;逗...笑
morale,n.,士氣;道德;鬥志
dragon,n.,龍
ritual,adj.,(宗教)儀式的;典禮的
special,adj.,特別的
ahead,adv.,事前;向前;在前;預先
eleven,n.,十一
foster,v.,促進;培養;養育
sample,v.,取...的樣品;抽樣檢查
planet,n.,行星
talk,n.,交談;空話;話題;談判;談話
stew,n.,燉煮的食物;燉肉;燜菜
create,v.,創造
phenomenon,n.,現象
pacific,adj.,(大寫) 太平洋的;平靜的;愛好和平的;溫和的
verbal,adj.,動詞的;言辭上的
hijack,n.,劫持事件
gray,n.,灰色
blaze,v.,炫示;燃燒;閃耀
rack,n.,(行李)網架;掛物架
cloud,n.,雲
cellular phone,n.,"手機,大哥大"
tolerant,adj.,"忍受的,容忍的"
trauma,n.,(感情方面的)創傷;傷口;外傷
craft,n.,"工藝,手藝"
captive,adj.,被俘的;被俘虜的;被迷住的;遭監禁的
loss,n.,損失
deem,v.,視作;認為
witness,v.,為...作證;目擊
pride,n.,"自豪,得意"
blouse,n.,女裝短上衣
stingy,adj.,小氣的
journal,n.,日報;日誌;期刊;雜誌
stiff,adj.,"拘謹的,不自然的;挺的;硬的"
safeguard,n.,保護;防衛;預防措施
display,v.,展出;陳列
romantic,n.,愛幻想者;浪漫的人
seven,n.,七
hacker,n.,駭客
coil,n.,(一)匝;(一)圈;(一)捲;線圈
steady,n.,(關係確定的)情侶;固定支架
index,v.,編索引
sphere,n.,球;球形;球體
reptile,adj.,爬行動物(似)的
foot,v.,"合計為,總計;支付(帳單或費用)"
evident,adj.,明白的;明顯的;有目共睹的
deed,n.,契據;證書
reign,v.,君臨;統治
cannon,n.,大砲;榴彈砲
dew,n.,朝氣;露水
quack,n.,鴨叫聲
outward,adj.,向外的;往外去的
wig,n.,假髮
accountable,adj.,可說明的;應負責任的
solemn,adj.,嚴肅的;莊嚴的;鄭重的
trademark,n.,商標
contagious,adj.,(感情等)感染性的;接觸傳染的
emerge,v.,出現;浮現
better,v.,提高;改善;變得較好;超過
superb,adj.,"上乘的,一流的;宏偉的;極優的;絕佳的;華麗的"
copper,n.,銅
accumulate,v.,積聚;累積
accuse,v.,指控
drain,v.,排出(液體)
delegate,n.,代表;會議代表
conscientious,adj.,憑良心的;有良心的;認真的;認真盡責的;誠實的
Antarctic,n.,南極區
hurl,n.,猛力投擲
sensation,n.,感覺;知覺;轟動
suitable,adj.,合適的;適宜的;適當的
stage,v.,上演;發動;籌劃
abide,v.,忍受;等候
sound,n.,聲音
dare,v.,敢;膽敢
frustrate,v.,挫敗;阻撓
slash,v.,(用刀;劍等)砍;大幅度削減
pluck,n.,(一)扯;(一)拉
spite,n.,"惡意,心術不良"
slot,n.,位置;吃角子老虎;投幣口;狹長孔
overhead,n.,天花板;經常費用
analytical,adj.,分析的
straighten,v.,使變直;弄清楚;把...弄直;整頓;清理;澄清
nurse,v.,"培育;當奶媽;看護,護理;給...餵奶"
jolly,v.,用好話勸(某人)做...;開玩笑
clap,v.,拍(手);鼓(掌)
burger,n.,漢堡牛肉餅
hold,n.,"延期;延遲;抓住,握住;耽擱"
correct,v.,改正;糾正
compound,v.,以複利計算;使合成;使惡化;使混合;加重;妥協
weary,v.,使厭煩;使疲倦
amid,prep.,在...之中;在...之間
month,n.,月份
elder,n.,長輩
throng,n.,人群;大群;群集
extra,n.,號外;附加的人物或錢
board,v.,上船;上車
stain,v.,染污;染色;沾污
grade,n.,分數;年級
passionate,adj.,激昂的;熱情的
harassment,n.,騷擾
nest,n.,巢
import,v.,輸入;進口
abnormal,adj.,不正常的;反常的
toil,v.,艱難地行進;苦幹
fight,v.,作戰;打架
procedure,n.,手續;步驟;程序
guard,n.,警衛
raise,n.,加薪;賭注加碼
fly,n.,蒼蠅
pear,n.,梨子
progress,v.,"上進,提高,進步;前進;進行"
comprehension,n.,理解;理解力
carpenter,n.,"木工,木匠"
sly,adj.,狡猾的
obvious,adj.,明顯的;顯著的
intent,adj.,堅決要做的;專注的;熱切的
honesty,n.,誠實
cap,v.,加蓋於;給...戴帽
bombard,v.,不斷攻擊;砲擊;連續提出問題
attractive,adj.,引人注目的;有吸引力的
pollution,n.,污染
manners,n.,"禮貌;規矩;風俗,習慣"
vulgar,adj.,下流的;粗俗的
space,v.,隔開
undo,v.,取消;恢復原狀;脫去(衣服等);解開
weird,adj.,怪誕的
smile,v.,微笑
tropic,adj.,熱帶的
hint,n.,暗示
cook,n.,廚師
conviction,n.,定罪;確信;證明有罪
pronoun,n.,代名詞
fruit,v.,使結果實;結果實
chalk,v.,使變白;畫出...的草圖;規劃;記下
steak,n.,牛排
pregnancy,n.,懷孕
likelihood,n.,可能;可能性
enable,v.,使成為可能
currency,n.,流通;貨幣;通貨
realism,n.,現實主義;現實性
captive,n.,俘虜;獵獲物;著迷的人
situation,n.,"處境,境遇"
plot,v.,"密謀,策劃;標繪"
telephone,n.,電話
meantime,adv.,其間;同時
enlarge,v.,擴大;擴展
brand,n.,商標
erect,adj.,豎起的
transfer,n.,移交;轉讓
turmoil,n.,混亂;騷動
almond,n.,杏仁
prevent,v.,"防止,預防"
heat,v.,使暖;使激動;刺激;把...加熱
hamburger,n.,漢堡
prior,adj.,在先的;在前的;居先的
clockwise,adv.,右旋地;順時針方向地
cooky,n.,cookie
refuge,n.,躲避;避難;避難所
changeable,adj.,不定的;易變的
devise,v.,發明;設計
estate,n.,地產
advise,v.,勸告
sociable,adj.,善交際的;好交際的
mayonnaise,n.,美乃滋;蛋黃醬
patrol,n.,巡邏;巡邏兵
genius,n.,天才
weekend,v.,度週末
smother,v.,使窒息;悶住(火);扼殺
perseverance,n.,堅忍不拔;堅持不懈
draw,n.,平局;平手
adore,v.,崇拜;愛慕
spacious,adj.,寬敞的;廣闊的
gulp,n.,一(大)口;吞嚥;哽塞(聲)
just,adv.,剛才;正好
boost,n.,一抬;一舉;促進;推動
document,v.,用文件或影片紀錄;用文件證明
armor,n.,(動、植物)保護層;盔甲;裝甲
exceptional,adj.,例外的;特殊的;異常的
fortify,v.,加強;增強;強化;築防禦工事;築防禦工事於
clown,n.,"小丑,丑角"
ware,n.,(特定種類的)陶器;貨物
waitress,n.,女服務生
gleam,v.,發微光;閃現
extract,v.,取出;抽出;抽取;提煉;摘錄
variable,n.,可變因素;可變物
warehouse,n.,倉庫;批發店
galaxy,n.,星系
inferior,n.,次品
outside,prep.,在外
acne,n.,粉刺
pop,v.,發出砰(或啪)的響聲
underneath,adv.,在下面;在底下
bang,adv.,"恰好,正好;砰地;驀地,突然"
yellow,v.,"使變黃,使發黃"
mighty,adj.,強大的;強有力的
gang,v.,成群結隊;結夥
stimulate,v.,使興奮;促使;刺激;激勵
barometer,n.,晴雨表;氣壓計;顯示變化的事物
sort,n.,排序;類型
wipe,n.,"擦,揩"
stall,n.,(汽車的)拋錨;廄;攤位
flock,v.,成群地去(或來);聚集
emphasize,v.,強調
layman,n.,(未受神職的)一般信徒;外行人
peek,v.,偷看;窺視
bucket,n.,水桶
tin,v.,把...裝罐
spiral,adj.,盤旋的;螺旋(形)的
autograph,n.,(尤指名人的)親筆簽名
pistol,v.,用手槍射擊
ostrich,n.,有駝鳥心理的人;駝鳥
wife,n.,妻子
rigorous,adj.,嚴厲的;嚴密的;嚴格的
persevere,v.,不屈不撓;堅忍不拔;堅持不懈
outline,v.,"概述,略述"
dot,n.,小圓點;點
superficial,adj.,外表的;粗略的;膚淺的;表面的
specialize,v.,專攻;專門從事
female,adj.,女性的
desperate,adj.,極度渴望的;絕望的
toll,v.,徵收捐稅(或通行費等);敲鐘
bedroom,n.,臥房
profile,n.,人物簡介;側影;輪廓
pump,v.,使用唧筒;跳動
forecast,v.,預測
sauce,v.,給...加調味汁
tulip,n.,鬱金香
shady,adj.,名聲不好的;靠不住的
confrontation,n.,對抗
school,n.,學校
greet,v.,問候;致敬
ruby,n.,暗紅色;紅寶石
license,v.,"發許可證給;許可,准許"
provincial,adj.,省的;鄉氣的
genetics,n.,遺傳學
caress,v.,寵愛;愛撫;撫摸
inhabit,v.,居住於;棲息於
sniff,n.,吸氣聲;嗅;聞
condense,v.,凝結;濃縮;縮短
discharge,v.,卸貨;排出;發射;解雇;釋放
whip,v.,"鞭打;鞭笞,抽打"
badminton,n.,羽毛球
skin,n.,皮膚
upbringing,n.,教養;養育
wrong,adj.,錯誤的
bottle,v.,"把...裝入瓶中;約束,抑制(感情);隱藏"
flu,n.,流行性感冒
engineer,n.,工程師
preference,n.,偏愛;優先(權)
selective,adj.,有選擇性的
rugged,adj.,粗糙的;粗線條的;高低不平的
crew,n.,全體船員
slow,adv.,慢了地;慢慢地;遲遲地
typhoon,n.,颱風
twin,n.,孿生兒
negotiate,v.,"談判,協商"
like,prep.,像;如
strangle,v.,勒死;悶住;扼住;扼殺
tongue,v.,用舌吹(管樂器);發(音);舔
narrative,adj.,故事形式的;敘事的
excepting,prep.,除...之外
confer,v.,協商;授予(學位等);給予
indifferent,adj.,不在乎的;不感興趣的;中立的;平庸的;漠不關心的;無關緊要的
perch,v.,(在較高處)暫歇;(鳥)飛落;棲息
concentration,n.,專心;濃縮
build,v.,建造;蓋
missionary,n.,(外交)使節;傳教士;鼓吹者
expire,v.,到期;吐氣;失效;氣絕;滿期
talkative,adj.,好說話的
universe,n.,宇宙
shove,v.,亂塞;推;撞
organization,n.,組織
glance,n.,一瞥;掃視
simply,adv.,"只不過;簡單地,簡易地;簡明地"
zipper,n.,拉鍊
press,n.,印刷機;報刊;壓迫;新聞界;新聞輿論
meet,n.,競賽大會;集會
overwork,n.,過勞;過於繁重的工作
English,adj.,英國人的;英國的;英格蘭的;英語的
editorial,adj.,社論的
rattle,v.,使發出咯咯聲;使驚惶失措
soak,n.,浸泡;浸漬
resemble,v.,"像,類似"
massacre,v.,使慘敗;屠殺
congratulation,n.,祝賀
ceremony,n.,"儀式,典禮"
fill,n.,填滿的量;裝填物
annoyance,n.,惱怒;打擾;討厭的東西(或人)
immense,adj.,巨大的;廣大的
cabin,n.,客艙
line,n.,線;隊伍
fear,n.,懼怕
organism,n.,有機體;生物
brew,n.,釀製飲料
precedent,n.,先例;慣例
attain,v.,獲得;達到;達成
recession,n.,後退;景氣衰退;衰退
small,adv.,"小小地,細小地;小聲地"
pioneer,n.,拓荒者
probable,adj.,很可能發生的
failure,n.,失敗
alert,v.,使警覺;向...報警
shoulder,n.,肩膀
fit,adj.,恰當的;相稱的;能勝任的;適合的
plan,v.,計劃
athlete,n.,"運動員,體育家"
design,v.,設計
enclosure,n.,圈地;圍牆;封入;附件
yoga,n.,瑜珈
fragile,adj.,易碎的;脆弱的;虛弱的
lag,v.,延遲;落後
stepfather,n.,"繼父,後父"
lumber,v.,(英國)拖累;伐木
random,adj.,胡亂的;隨機的
select,adj.,卓越的;精選的
mission,n.,"使命,任務;使節團"
torment,v.,使痛苦;使苦惱;折磨;煩擾
protective,adj.,"保護的,防護的"
uranium,n.,鈾
chestnut,n.,栗子;栗樹;栗色
kilometer,n.,公里
evacuate,v.,撤離;疏散;避難
inform,v.,"通知,告知"
abrupt,adj.,意外的;突然的
medication,n.,藥物;藥物治療
response,n.,回答;答覆
ass,n.,太自負的人;笨蛋;驢子
obligation,n.,(道義上或法律上的)義務
may,v.,可能
overall,adv.,大體上;總的來說
seesaw,n.,蹺蹺板
persuasive,adj.,有說服力的
inside,prep.,在…裡面
desire,n.,渴望
quarter,n.,15分鐘;¼;美金25分
brick,n.,磚塊
scramble,v.,攀爬;爭奪;雜亂蔓延
eleven,adj.,十一的
clamp,n.,螺絲鉗;鐵箍
north,adj.,北方的
firm,adj.,牢固的
glare,v.,怒目注視;眩目地照射
pink,adj.,粉紅色的
bark,n.,吠聲;皮
transition,n.,變遷;轉變;過渡;過渡(時期);過渡時期
smile,n.,微笑
antarctic,adj.,南極區的;南極的
necktie,n.,領帶
sloppy,adj.,懶散的;草率的
drown,v.,"淹沒;淹沒,浸濕"
reasonable,adj.,"合理的,正當的"
muscle,n.,肌;肌肉
fill,v.,充滿;填充
necessary,adj.,需要的
only,conj.,"可是,不過;要不是,若非"
abundance,n.,充足;豐富
true,adv.,準確地;真實地
hostility,n.,戰爭行動;敵意;敵視
blood,n.,血
velvet,n.,天鵝絨;絲絨
grope,v.,探索;暗中摸;觸摸
forty,adj.,四十的
water,v.,加水稀釋;流口水;給...澆水
smuggle,v.,走私
will,v.,"將;能;願,要;願意"
brew,v.,醞釀著;釀造
tar,n.,柏油;水手;瀝青
hum,v.,哼曲子
transportation,n.,交通工具;交通費;交通車輛;輸送;運輸
automatic,adj.,"自動的,習慣性的"
whatsoever,adj.,不管什麼樣的;無論怎麼的
accept,v.,接受
restoration,n.,修復;復辟;恢復;歸還;重建
bun,n.,小圓麵包
antenna,n.,天線;觸角;觸鬚
progressive,n.,革新主義者
little,adv.,一點點
surf,n.,海浪
when,conj.,既然;然而;當...時
dumb,adj.,啞的;愚笨的
raid,v.,劫掠;襲擊
submarine,adj.,海底的
raid,n.,劫掠;突然襲擊
friction,n.,不和;摩擦;爭執
displace,v.,免職;取代;迫使離開
arrange,v.,排列;整理
scrape,v.,刮;勉強過日子;擦
commerce,n.,"商業,貿易,交易"
erupt,v.,(火山)爆發;(皮膚)出疹子;噴出;爆發
gardener,n.,園丁;花匠
dealer,n.,商人;業者;發牌者
championship,n.,冠軍的地位
evolution,n.,"演變;發展,進展;進化(論)"
publicity,n.,名聲;宣傳
litter,n.,"廢棄物,零亂之物"
piss,n.,小便
adventure,n.,冒險;冒險活動
grope,n.,探索;觸摸
cape,n.,"岬,海角"
grassy,adj.,似草的;長滿草的
airline,n.,航空公司
limit,v.,限定
bind,v.,捆;綁
accuracy,n.,正確(性);準確(性)
power,n.,動力;權力
excellent,adj.,非常好的
weed,n.,野草;雜草
weekly,adj.,一週一次的;每週的
concede,v.,(勉強)承認;承認(某事屬實);承認失敗;讓步
escalate,v.,使逐步上升(增強或擴大)
better,adv.,更好地;更適當地
motor,n.,"馬達,發動機"
petty,adj.,小的;氣量小的;瑣碎的
stimulus,n.,刺激;刺激品;興奮劑
postponement,n.,延期;延緩
tunnel,n.,隧道
main,n.,主要部分;總管道;要點
flutter,n.,(心臟等的)撲動;振翼;飄動
protest,v.,"抗議,反對"
shop,v.,購物
foam,n.,泡沫
defensive,adj.,防禦的
elaborate,v.,精心製作;詳細說明
during,prep.,在…期間
gay,n.,同性戀者
trigger,v.,扣扳機開(槍);發射;觸發
inventory,n.,存貨清單
distress,v.,使悲傷;使悲痛;使痛苦;使苦惱
knife,n.,刀子
insert,n.,夾在報刊中的散頁廣告;插入物
exposure,n.,揭露;暴曬;暴露;曝光
productivity,n.,生產力;生產率
battle,v.,與...作戰
crunch,v.,嘎吱作響地咬嚼(或踩、壓)
applause,n.,"鼓掌歡迎,喝采"
diligent,adj.,勤勉的
descriptive,adj.,描寫的;描述性的
headline,n.,(報紙等的)標題
celery,n.,芹菜
stretch,v.,"舒展肢體,伸懶腰"
explanation,n.,"說明,解釋"
stereo,n.,立體音響裝置
hypocrite,n.,偽君子;偽善者
since,conj.,因為;自...以來
alternative,adj.,兩者(或若干)中擇一的
lot,n.,"一塊地;一批;很多,多數"
scenery,n.,風景
drawback,n.,不利條件;缺點;障礙
downstairs,adj.,樓下的
note,n.,便條;筆記;記錄;音符
clothe,v.,為...提供衣服;給...穿衣
semester,n.,學期
towel,v.,用毛巾擦
survive,v.,在...之後仍然活著
continuous,adj.,"連續的,不斷的"
scope,n.,(活動等的)機會;範圍;領域;餘地
representative,n.,"代表,代理人"
fail,v.,不及格;失敗
accordance,n.,一致;和諧;符合;調和
initiative,adj.,初步的;創始的;開始的
block,v.,阻塞
motherhood,n.,(總稱)母親們;母性
accident,n.,事故;災禍
fall,v.,掉下
tension,n.,張力;緊張
aviation,n.,航空;飛行
actual,adj.,事實上的;實際的
initiate,n.,初學者;新加入者
range,v.,排列
bead,n.,有孔小珠
red,adj.,紅色的
grind,v.,磨(碎)
drain,n.,排水管
every,adj.,每一個的
shape,v.,"使成形;塑造,製作"
post,n.,交易所;崗位;柱;樁;站;郵件
around,prep.,差不多;環繞
ensure,v.,保證;擔保
honeymoon,v.,度蜜月
segment,n.,切片;部分;部門
healthful,adj.,有益於健康的
withstand,v.,反抗;抵抗;抵擋;禁得起
persist,v.,固執;堅持;繼續存在
slide,v.,滑壘滑動
O.K.,adv.,對吧;尚可;挺好
area,n.,地區;面積
oak,n.,橡樹
thought,n.,思想
blanket,n.,毯子
pause,n.,"暫停,間歇;躊躇,猶豫"
catalogue,n.,"一覽表;大學概況一覽;登記,記載;目錄"
pants,n.,褲子
dome,n.,半球形物;圓屋頂;穹窿
lump,v.,弄成一團;歸併到一起
pa,n.,爸
cruise,n.,巡航;巡邏;航遊
clarity,n.,(思想、文體等的)清楚;明晰
preach,v.,佈道;說教
downward,adv.,(時間)往後推移地;向下;日趨沒落地
headquarters,n.,"總部,總公司,總局"
entitle,v.,給...權力(或資格)
arch,v.,"使成弧形,拱起"
sail,v.,航行
civilian,adj.,民用的;百姓的
royal,adj.,皇家的
cottage,n.,小屋
